uuid,name,viaf_id,gnd_id,best_qid,best_label,best_description,best_score,best_reasons,second_qid,second_score,action,signal_source,all_candidates
20a72bba-7b3b-4cad-9e81-9663c2780654,"Aaron, Joseph Philipp",,,Q137321076,Joseph Philipp Aaron,,15,search_rank_0|p31_human,Q74696,15,manual,name,"[{""qid"": ""Q137321076"", ""label"": ""Joseph Philipp Aaron"", ""desc"": """", ""score"": 15}, {""qid"": ""Q74696"", ""label"": ""Joseph Almogi"", ""desc"": ""Israeli politician (1910-1991)"", ""score"": 15}, {""qid"": ""Q11728295"", ""label"": ""Yosef Aharon Rabinovits"", ""desc"": ""Polish rabbi"", ""score"": 13}, {""qid"": ""Q115620729"", ""label"": ""יוסף אהרן טאראן"", ""desc"": """", ""score"": 11}]"
7b32d16a-823b-464c-ada9-b2a3da65df70,Abraham Isaak,,,Q116167935,Abraham Isaak,,20,search_rank_0|p31_human|name_exact,Q4668924,20,manual,name,"[{""qid"": ""Q116167935"", ""label"": ""Abraham Isaak"", ""desc"": """", ""score"": 20}, {""qid"": ""Q4668924"", ""label"": ""Abraham Isaak"", ""desc"": ""Publisher, editor, anarchist (1856–1937)"", ""score"": 20}, {""qid"": ""Q53505851"", ""label"": ""Abraham Isaak Polack"", ""desc"": """", ""score"": 13}, {""qid"": ""Q330110"", ""label"": ""Abraham Isaak Kook"", ""desc"": ""jüdischer Mystiker, Rabbiner (1865-1935)"", ""score"": 13}, {""qid"": ""Q94795556"", ""label"": ""Abraham Isaak Gans"", ""desc"": """", ""score"": 9}]"
f1f70ea9-ed3a-44a6-9922-43b974e06f5e,Abraham Joel Emanuel,,,,,,0,,,0,manual,name,[]
0a27c870-dc49-4f7f-afc6-b034d3efb242,Abraham Moses,,,Q105374178,Abraham Moses,"holocaust victim, b. 1850-04-07",20,search_rank_0|p31_human|name_exact,Q91585505,18,manual,name,"[{""qid"": ""Q105374178"", ""label"": ""Abraham Moses"", ""desc"": ""holocaust victim, b. 1850-04-07"", ""score"": 20}, {""qid"": ""Q91585505"", ""label"": ""Abraham S Moses"", ""desc"": ""researcher (ORCID 0000-0002-7006-5681)"", ""score"": 18}, {""qid"": ""Q105374179"", ""label"": ""Abraham Moses"", ""desc"": ""holocaust victim, b. 1867-05-23"", ""score"": 16}, {""qid"": ""Q123364818"", ""label"": ""Abraham Mosessohn"", ""desc"": """", ""score"": 11}, {""qid"": ""Q330415"", ""label"": ""Abraham Moses Luncz"", ""desc"": ""jüdischer Gelehrter, Autor und Verleger"", ""score"": 11}, {""qid"": ""Q2778027"", ""label"": ""אברהם משה קליין"", ""desc"": ""משורר קנדי"", ""score"": 9}, {""qid"": ""Q91869"", ""label"": ""Adolf Martin Schlesinger"", ""desc"": ""deutscher Musikverleger"", ""score"": 9}, {""qid"": ""Q126727483"", ""label"": ""Abraham Moses Margulies-Jafe Schlesinger"", ""desc"": """", ""score"": 7}]"
488e3308-f8cf-4843-bcc5-429acbd1a477,"Abrahamsen, Moses Levin",,,,,,0,,,0,manual,name,[]
08d51d05-1792-46f6-83b3-8f75b07b1b78,"Ackord, Elias",,,,,,0,,,0,manual,name,[]
6d8bcee0-2c75-4c4b-bca1-b48a5d8c47f3,Adolphi (Pastor),,,,,,0,,,0,manual,name,[]
aeaf0097-8815-4914-bc60-5bc3eb3bc903,"Alexander, Abraham",,,Q115628682,"Alexander, Abraham",article in The Biographical Dictionary of America,17,search_rank_0|name_exact|has_sitelinks,Q130417110,15,manual,name,"[{""qid"": ""Q115628682"", ""label"": ""Alexander, Abraham"", ""desc"": ""article in The Biographical Dictionary of America"", ""score"": 17}, {""qid"": ""Q130417110"", ""label"": ""Abraham Alexander"", ""desc"": ""American blues/soul/R&B musician"", ""score"": 15}, {""qid"": ""Q4668742"", ""label"": ""Abraham Alexander"", ""desc"": ""Public figure in Mecklenburg County, North Carolina, during the American Revolution (1718-1786)"", ""score"": 13}, {""qid"": ""Q323417"", ""label"": ""Abraham Ribicoff"", ""desc"": ""American politician (1910–1998)"", ""score"": 9}, {""qid"": ""Q221933"", ""label"": ""Abraham Teerlink"", ""desc"": ""Dutch painter (1776-1857)"", ""score"": 7}, {""qid"": ""Q1385081"", ""label"": ""Alexander Schneider"", ""desc"": ""Lithuanian musician (1908-1993)"", ""score"": 7}, {""qid"": ""Q116177636"", ""label"": ""Abraham Alexander Lindo"", ""desc"": ""Jamaican merchant (1775–1849)"", ""score"": 7}, {""qid"": ""Q103844901"", ""label"": ""Alexander, Abraham (1718-1786), early leader in Mecklenburg County, North Carolina"", ""desc"": ""encyclopedia article"", ""score"": 6}]"
c982197f-d010-4537-89d8-6fc2f69bc369,"Alexander, Isaak",,,Q104208876,Isaak Alexander,"holocaust victim, b. 1871-07-18",15,search_rank_0|p31_human,Q104208877,13,manual,name,"[{""qid"": ""Q104208876"", ""label"": ""Isaak Alexander"", ""desc"": ""holocaust victim, b. 1871-07-18"", ""score"": 15}, {""qid"": ""Q104208877"", ""label"": ""Isaak Alexander"", ""desc"": ""holocaust victim, b. 1875-01-01"", ""score"": 13}, {""qid"": ""Q6075824"", ""label"": ""Isaac Alexander"", ""desc"": ""writer"", ""score"": 13}]"
496546fd-ae64-47d5-9c59-340535367712,"Alexander, Levy",,,Q366643,Lloyd Alexander,American children's writer (1924-2007),17,search_rank_1|p31_human|name_partial|has_sitelinks,Q131771614,15,manual,name,"[{""qid"": ""Q366643"", ""label"": ""Lloyd Alexander"", ""desc"": ""American children's writer (1924-2007)"", ""score"": 17}, {""qid"": ""Q131771614"", ""label"": ""Levy Alexander"", ""desc"": """", ""score"": 15}]"
